,id,geometry
54,17031221000,POINT (-87.71525255727789 41.92096043060236)
55,17031221100,POINT (-87.71036087537797 41.92102054216188)
56,17031242800,POINT (-87.69032375549158 41.8926320455768)
57,17031242900,POINT (-87.68428963664432 41.89219553293475)
58,17031243000,POINT (-87.67939814177186 41.89227537939269)
59,17031243100,POINT (-87.6745067534742 41.892354662136384)
60,17031243200,POINT (-87.66962376185872 41.8924327424389)
61,17031243300,POINT (-87.66473878651611 41.892478174240516)
62,17031243400,POINT (-87.6598540386419 41.89256606514704)
63,17031071400,POINT (-87.6294059796152 41.92215307591396)
